Time,Ultrasonic_p2_01,Ultrasonic_p2_02,Ultrasonic_p2_03,Ultrasonic_p2_04,Ultrasonic_p2_05,Ultrasonic_p2_06,Ultrasonic_p2_07,Ultrasonic_p2_08,Ultrasonic_p2_09,Ultrasonic_p2_10,Ultrasonic_p2_11,Ultrasonic_p2_12,Ultrasonic_p2_13,Ultrasonic_p2_14,Ultrasonic_p2_15,Ultrasonic_p2_16,Ultrasonic_p2_17
21.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.900,
21.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.100,
22.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.800,
22.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.800,
22.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,57.200,
22.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34.000,
22.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.300,
22.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.700,
22.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.700,
22.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.900,
22.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.100,
22.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.000,
23.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.300,
23.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.700,
23.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.900,
23.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.400,
23.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.100,
23.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.100,
23.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.200,
23.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.500,
23.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.600,
23.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.900,
24.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.300,
24.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.300,
24.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.700,
24.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.400,
24.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.800,
24.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.800,
24.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.800,
24.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.700,
24.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.600,
24.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.600,
25.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.900,
25.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.900,
25.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.300,
25.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.300,
25.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.600,
25.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.900,
25.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46.200,
25.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.500,
25.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.800,
25.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.000,
26.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.700,
26.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53.200,
26.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.600,
26.300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.700,
26.400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.700,
26.500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55.400,
26.600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.600,
26.700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.900,
26.800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,56.700,
26.900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.000,
27.000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.100,
27.100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68.100,
27.200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.600,
